,0,Accur,Precision,Recall,F1,Fbeta,Balanced Score,ROC_Score,MMC,FM
0,Amostra 1 - T1,0.9,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.7547169811320754,0.8960573476702509,0.942652329749104,0.740789521357966,0.8644755528504767
1,Amostra 1 - T2,0.85,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7849462365591398,0.85663082437276,0.5698924731182796,0.7694145758661888
2,Amostra 1 - T3,0.85,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7849462365591398,0.85663082437276,0.5698924731182796,0.7694145758661888
3,Amostra 1 - T4,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.8566308243727598,0.6067099699809586,0.7804603142399856
4,Amostra 1 - T5,0.85,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.6756756756756758,0.7455197132616487,0.9498207885304659,0.5396503655414019,0.7903387258225969
5,Amostra 2 - T1,0.775,0.0,0.0,0.0,0.0,0.5,0.7526881720430108,0.0,0.4175627240143369
6,Amostra 2 - T2,0.775,0.0,0.0,0.0,0.0,0.5,0.8100358422939068,0.0,0.4366786140979689
7,Amostra 2 - T3,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.9247311827956989,0.6067099699809586,0.8031604337142987
8,Amostra 2 - T4,0.775,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.3333333333333333
9,Amostra 2 - T5,0.85,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.6557377049180328,0.8637992831541219,0.8924731182795699,0.6486947424124406,0.8040033687839082
10,Amostra 3 - T1,0.775,0.0,0.0,0.0,0.0,0.5,0.7526881720430108,0.0,0.4175627240143369
11,Amostra 3 - T2,0.775,0.0,0.0,0.0,0.0,0.5,0.8100358422939068,0.0,0.4366786140979689
12,Amostra 3 - T3,0.85,0.6363636363636364,0.7777777777777778,0.7000000000000001,0.660377358490566,0.8243727598566308,0.935483870967742,0.6067099699809586,0.8067446631049796
13,Amostra 3 - T4,0.775,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.3333333333333333
14,Amostra 3 - T5,0.875,0.6428571428571429,1.0,0.782608695652174,0.6923076923076923,0.9193548387096775,0.910394265232975,0.7342823073671614,0.840685598750115
